Web Search interest: travelex transferwise
Worldwide 2004 - present

Interest over time
Week,travelex,transferwise
2006-04-23 - 2006-04-29,70,0
2006-04-30 - 2006-05-06,59,0
2006-05-07 - 2006-05-13,45,0
2006-05-14 - 2006-05-20,63,0
2006-05-21 - 2006-05-27,64,0
2006-05-28 - 2006-06-03,58,0
2006-06-04 - 2006-06-10,73,0
2006-06-11 - 2006-06-17,60,0
2006-06-18 - 2006-06-24,74,0
2006-06-25 - 2006-07-01,73,0
2006-07-02 - 2006-07-08,66,0
2006-07-09 - 2006-07-15,85,0
2006-07-16 - 2006-07-22,82,0
2006-07-23 - 2006-07-29,79,0
2006-07-30 - 2006-08-05,64,0
2006-08-06 - 2006-08-12,73,0
2006-08-13 - 2006-08-19,73,0
2006-08-20 - 2006-08-26,73,0
2006-08-27 - 2006-09-02,73,0
2006-09-03 - 2006-09-09,41,0
2006-09-10 - 2006-09-16,57,0
2006-09-17 - 2006-09-23,40,0
2006-09-24 - 2006-09-30,34,0
2006-10-01 - 2006-10-07,52,0
2006-10-08 - 2006-10-14,49,0
2006-10-15 - 2006-10-21,45,0
2006-10-22 - 2006-10-28,46,0
2006-10-29 - 2006-11-04,38,0
2006-11-05 - 2006-11-11,42,0
2006-11-12 - 2006-11-18,40,0
2006-11-19 - 2006-11-25,29,0
2006-11-26 - 2006-12-02,53,0
2006-12-03 - 2006-12-09,58,0
2006-12-10 - 2006-12-16,52,0
2006-12-17 - 2006-12-23,58,0
2006-12-24 - 2006-12-30,37,0
2006-12-31 - 2007-01-06,44,0
2007-01-07 - 2007-01-13,49,0
2007-01-14 - 2007-01-20,58,0
2007-01-21 - 2007-01-27,62,0
2007-01-28 - 2007-02-03,47,0
2007-02-04 - 2007-02-10,52,0
2007-02-11 - 2007-02-17,36,0
2007-02-18 - 2007-02-24,51,0
2007-02-25 - 2007-03-03,49,0
2007-03-04 - 2007-03-10,56,0
2007-03-11 - 2007-03-17,53,0
2007-03-18 - 2007-03-24,66,0
2007-03-25 - 2007-03-31,59,0
2007-04-01 - 2007-04-07,55,0
2007-04-08 - 2007-04-14,43,0
2007-04-15 - 2007-04-21,81,0
2007-04-22 - 2007-04-28,70,0
2007-04-29 - 2007-05-05,77,0
2007-05-06 - 2007-05-12,65,0
2007-05-13 - 2007-05-19,60,0
2007-05-20 - 2007-05-26,61,0
2007-05-27 - 2007-06-02,48,0
2007-06-03 - 2007-06-09,71,0
2007-06-10 - 2007-06-16,65,0
2007-06-17 - 2007-06-23,68,0
2007-06-24 - 2007-06-30,92,0
2007-07-01 - 2007-07-07,75,0
2007-07-08 - 2007-07-14,83,0
2007-07-15 - 2007-07-21,64,0
2007-07-22 - 2007-07-28,84,0
2007-07-29 - 2007-08-04,90,0
2007-08-05 - 2007-08-11,86,0
2007-08-12 - 2007-08-18,84,0
2007-08-19 - 2007-08-25,80,0
2007-08-26 - 2007-09-01,76,0
2007-09-02 - 2007-09-08,75,0
2007-09-09 - 2007-09-15,73,0
2007-09-16 - 2007-09-22,59,0
2007-09-23 - 2007-09-29,58,0
2007-09-30 - 2007-10-06,63,0
2007-10-07 - 2007-10-13,70,0
2007-10-14 - 2007-10-20,68,0
2007-10-21 - 2007-10-27,54,0
2007-10-28 - 2007-11-03,62,0
2007-11-04 - 2007-11-10,71,0
2007-11-11 - 2007-11-17,63,0
2007-11-18 - 2007-11-24,53,0
2007-11-25 - 2007-12-01,55,0
2007-12-02 - 2007-12-08,51,0
2007-12-09 - 2007-12-15,49,0
2007-12-16 - 2007-12-22,54,0
2007-12-23 - 2007-12-29,41,0
2007-12-30 - 2008-01-05,54,0
2008-01-06 - 2008-01-12,49,0
2008-01-13 - 2008-01-19,58,0
2008-01-20 - 2008-01-26,63,0
2008-01-27 - 2008-02-02,57,0
2008-02-03 - 2008-02-09,57,0
2008-02-10 - 2008-02-16,57,0
2008-02-17 - 2008-02-23,50,0
2008-02-24 - 2008-03-01,56,0
2008-03-02 - 2008-03-08,60,0
2008-03-09 - 2008-03-15,70,0
2008-03-16 - 2008-03-22,65,0
2008-03-23 - 2008-03-29,72,0
2008-03-30 - 2008-04-05,58,0
2008-04-06 - 2008-04-12,67,0
2008-04-13 - 2008-04-19,69,0
2008-04-20 - 2008-04-26,71,0
2008-04-27 - 2008-05-03,80,0
2008-05-04 - 2008-05-10,60,0
2008-05-11 - 2008-05-17,71,0
2008-05-18 - 2008-05-24,63,0
2008-05-25 - 2008-05-31,74,0
2008-06-01 - 2008-06-07,71,0
2008-06-08 - 2008-06-14,71,0
2008-06-15 - 2008-06-21,72,0
2008-06-22 - 2008-06-28,83,0
2008-06-29 - 2008-07-05,68,0
2008-07-06 - 2008-07-12,72,0
2008-07-13 - 2008-07-19,68,0
2008-07-20 - 2008-07-26,76,0
2008-07-27 - 2008-08-02,75,0
2008-08-03 - 2008-08-09,76,0
2008-08-10 - 2008-08-16,73,0
2008-08-17 - 2008-08-23,70,0
2008-08-24 - 2008-08-30,61,0
2008-08-31 - 2008-09-06,76,0
2008-09-07 - 2008-09-13,62,0
2008-09-14 - 2008-09-20,65,0
2008-09-21 - 2008-09-27,63,0
2008-09-28 - 2008-10-04,71,0
2008-10-05 - 2008-10-11,68,0
2008-10-12 - 2008-10-18,65,0
2008-10-19 - 2008-10-25,61,0
2008-10-26 - 2008-11-01,67,0
2008-11-02 - 2008-11-08,58,0
2008-11-09 - 2008-11-15,54,0
2008-11-16 - 2008-11-22,57,0
2008-11-23 - 2008-11-29,44,0
2008-11-30 - 2008-12-06,45,0
2008-12-07 - 2008-12-13,60,0
2008-12-14 - 2008-12-20,72,0
2008-12-21 - 2008-12-27,49,0
2008-12-28 - 2009-01-03,53,0
2009-01-04 - 2009-01-10,61,0
2009-01-11 - 2009-01-17,53,0
2009-01-18 - 2009-01-24,64,0
2009-01-25 - 2009-01-31,55,0
2009-02-01 - 2009-02-07,54,0
2009-02-08 - 2009-02-14,58,0
2009-02-15 - 2009-02-21,54,0
2009-02-22 - 2009-02-28,62,0
2009-03-01 - 2009-03-07,57,0
2009-03-08 - 2009-03-14,58,0
2009-03-15 - 2009-03-21,56,0
2009-03-22 - 2009-03-28,61,0
2009-03-29 - 2009-04-04,63,0
2009-04-05 - 2009-04-11,59,0
2009-04-12 - 2009-04-18,57,0
2009-04-19 - 2009-04-25,58,0
2009-04-26 - 2009-05-02,61,0
2009-05-03 - 2009-05-09,68,0
2009-05-10 - 2009-05-16,62,0
2009-05-17 - 2009-05-23,70,0
2009-05-24 - 2009-05-30,82,0
2009-05-31 - 2009-06-06,85,0
2009-06-07 - 2009-06-13,87,0
2009-06-14 - 2009-06-20,89,0
2009-06-21 - 2009-06-27,78,0
2009-06-28 - 2009-07-04,73,0
2009-07-05 - 2009-07-11,79,0
2009-07-12 - 2009-07-18,74,0
2009-07-19 - 2009-07-25,85,0
2009-07-26 - 2009-08-01,67,0
2009-08-02 - 2009-08-08,91,0
2009-08-09 - 2009-08-15,77,0
2009-08-16 - 2009-08-22,69,0
2009-08-23 - 2009-08-29,77,0
2009-08-30 - 2009-09-05,67,0
2009-09-06 - 2009-09-12,73,0
2009-09-13 - 2009-09-19,60,0
2009-09-20 - 2009-09-26,57,0
2009-09-27 - 2009-10-03,60,0
2009-10-04 - 2009-10-10,54,0
2009-10-11 - 2009-10-17,61,0
2009-10-18 - 2009-10-24,59,0
2009-10-25 - 2009-10-31,55,0
2009-11-01 - 2009-11-07,43,0
2009-11-08 - 2009-11-14,42,0
2009-11-15 - 2009-11-21,48,0
2009-11-22 - 2009-11-28,46,0
2009-11-29 - 2009-12-05,41,0
2009-12-06 - 2009-12-12,43,0
2009-12-13 - 2009-12-19,43,0
2009-12-20 - 2009-12-26,35,0
2009-12-27 - 2010-01-02,36,0
2010-01-03 - 2010-01-09,54,0
2010-01-10 - 2010-01-16,54,0
2010-01-17 - 2010-01-23,54,0
2010-01-24 - 2010-01-30,49,0
2010-01-31 - 2010-02-06,51,0
2010-02-07 - 2010-02-13,40,0
2010-02-14 - 2010-02-20,43,0
2010-02-21 - 2010-02-27,41,0
2010-02-28 - 2010-03-06,62,0
2010-03-07 - 2010-03-13,48,0
2010-03-14 - 2010-03-20,63,0
2010-03-21 - 2010-03-27,56,0
2010-03-28 - 2010-04-03,57,0
2010-04-04 - 2010-04-10,61,0
2010-04-11 - 2010-04-17,55,0
2010-04-18 - 2010-04-24,50,0
2010-04-25 - 2010-05-01,55,0
2010-05-02 - 2010-05-08,63,0
2010-05-09 - 2010-05-15,67,0
2010-05-16 - 2010-05-22,82,0
2010-05-23 - 2010-05-29,83,0
2010-05-30 - 2010-06-05,72,0
2010-06-06 - 2010-06-12,66,0
2010-06-13 - 2010-06-19,69,0
2010-06-20 - 2010-06-26,74,0
2010-06-27 - 2010-07-03,63,0
2010-07-04 - 2010-07-10,73,0
2010-07-11 - 2010-07-17,76,0
2010-07-18 - 2010-07-24,77,0
2010-07-25 - 2010-07-31,100,0
2010-08-01 - 2010-08-07,78,0
2010-08-08 - 2010-08-14,65,0
2010-08-15 - 2010-08-21,64,0
2010-08-22 - 2010-08-28,64,0
2010-08-29 - 2010-09-04,56,0
2010-09-05 - 2010-09-11,64,0
2010-09-12 - 2010-09-18,66,0
2010-09-19 - 2010-09-25,75,0
2010-09-26 - 2010-10-02,70,0
2010-10-03 - 2010-10-09,70,0
2010-10-10 - 2010-10-16,71,0
2010-10-17 - 2010-10-23,67,0
2010-10-24 - 2010-10-30,47,0
2010-10-31 - 2010-11-06,57,0
2010-11-07 - 2010-11-13,47,0
2010-11-14 - 2010-11-20,51,0
2010-11-21 - 2010-11-27,44,0
2010-11-28 - 2010-12-04,40,0
2010-12-05 - 2010-12-11,42,0
2010-12-12 - 2010-12-18,45,0
2010-12-19 - 2010-12-25,40,0
2010-12-26 - 2011-01-01,46,0
2011-01-02 - 2011-01-08,42,0
2011-01-09 - 2011-01-15,53,0
2011-01-16 - 2011-01-22,50,0
2011-01-23 - 2011-01-29,47,0
2011-01-30 - 2011-02-05,46,0
2011-02-06 - 2011-02-12,47,0
2011-02-13 - 2011-02-19,43,0
2011-02-20 - 2011-02-26,43,0
2011-02-27 - 2011-03-05,49,0
2011-03-06 - 2011-03-12,52,0
2011-03-13 - 2011-03-19,53,0
2011-03-20 - 2011-03-26,46,0
2011-03-27 - 2011-04-02,56,0
2011-04-03 - 2011-04-09,70,0
2011-04-10 - 2011-04-16,61,0
2011-04-17 - 2011-04-23,66,0
2011-04-24 - 2011-04-30,59,0
2011-05-01 - 2011-05-07,62,0
2011-05-08 - 2011-05-14,50,0
2011-05-15 - 2011-05-21,58,0
2011-05-22 - 2011-05-28,60,0
2011-05-29 - 2011-06-04,52,1
2011-06-05 - 2011-06-11,57,0
2011-06-12 - 2011-06-18,66,0
2011-06-19 - 2011-06-25,62,0
2011-06-26 - 2011-07-02,62,0
2011-07-03 - 2011-07-09,68,0
2011-07-10 - 2011-07-16,82,0
2011-07-17 - 2011-07-23,76,0
2011-07-24 - 2011-07-30,80,0
2011-07-31 - 2011-08-06,94,0
2011-08-07 - 2011-08-13,77,0
2011-08-14 - 2011-08-20,72,0
2011-08-21 - 2011-08-27,72,0
2011-08-28 - 2011-09-03,62,0
2011-09-04 - 2011-09-10,52,1
2011-09-11 - 2011-09-17,56,1
2011-09-18 - 2011-09-24,54,0
2011-09-25 - 2011-10-01,46,0
2011-10-02 - 2011-10-08,50,0
2011-10-09 - 2011-10-15,44,0
2011-10-16 - 2011-10-22,48,0
2011-10-23 - 2011-10-29,48,0
2011-10-30 - 2011-11-05,42,0
2011-11-06 - 2011-11-12,40,0
2011-11-13 - 2011-11-19,36,0
2011-11-20 - 2011-11-26,33,0
2011-11-27 - 2011-12-03,37,0
2011-12-04 - 2011-12-10,37,0
2011-12-11 - 2011-12-17,44,0
2011-12-18 - 2011-12-24,35,0
2011-12-25 - 2011-12-31,34,0
2012-01-01 - 2012-01-07,42,0
2012-01-08 - 2012-01-14,45,0
2012-01-15 - 2012-01-21,41,0
2012-01-22 - 2012-01-28,41,0
2012-01-29 - 2012-02-04,37,0
2012-02-05 - 2012-02-11,46,0
2012-02-12 - 2012-02-18,37,0
2012-02-19 - 2012-02-25,35,0
2012-02-26 - 2012-03-03,40,0
2012-03-04 - 2012-03-10,41,0
2012-03-11 - 2012-03-17,40,0
2012-03-18 - 2012-03-24,39,0
2012-03-25 - 2012-03-31,45,0
2012-04-01 - 2012-04-07,42,0
2012-04-08 - 2012-04-14,35,0
2012-04-15 - 2012-04-21,43,2
2012-04-22 - 2012-04-28,47,0
2012-04-29 - 2012-05-05,41,0
2012-05-06 - 2012-05-12,59,0
2012-05-13 - 2012-05-19,62,1
2012-05-20 - 2012-05-26,53,1
2012-05-27 - 2012-06-02,63,1
2012-06-03 - 2012-06-09,49,0
2012-06-10 - 2012-06-16,54,0
2012-06-17 - 2012-06-23,58,0
2012-06-24 - 2012-06-30,47,0
2012-07-01 - 2012-07-07,53,0
2012-07-08 - 2012-07-14,52,1
2012-07-15 - 2012-07-21,52,0
2012-07-22 - 2012-07-28,57,0
2012-07-29 - 2012-08-04,55,0
2012-08-05 - 2012-08-11,58,1
2012-08-12 - 2012-08-18,52,1
2012-08-19 - 2012-08-25,59,1
2012-08-26 - 2012-09-01,49,0
2012-09-02 - 2012-09-08,55,0
2012-09-09 - 2012-09-15,47,1
2012-09-16 - 2012-09-22,46,1
2012-09-23 - 2012-09-29,42,0
2012-09-30 - 2012-10-06,36,1
2012-10-07 - 2012-10-13,41,1
2012-10-14 - 2012-10-20,32,1
2012-10-21 - 2012-10-27,39,1
2012-10-28 - 2012-11-03,33,1
2012-11-04 - 2012-11-10,32,1
2012-11-11 - 2012-11-17,31,1
2012-11-18 - 2012-11-24,31,0
2012-11-25 - 2012-12-01,31,1
2012-12-02 - 2012-12-08,36,1
2012-12-09 - 2012-12-15,34,2
2012-12-16 - 2012-12-22,33,1
2012-12-23 - 2012-12-29,24,1
2012-12-30 - 2013-01-05,28,1
2013-01-06 - 2013-01-12,34,1
2013-01-13 - 2013-01-19,33,1
2013-01-20 - 2013-01-26,28,1
2013-01-27 - 2013-02-02,31,2
2013-02-03 - 2013-02-09,30,1
2013-02-10 - 2013-02-16,34,1
2013-02-17 - 2013-02-23,35,2
2013-02-24 - 2013-03-02,38,1
2013-03-03 - 2013-03-09,35,3
2013-03-10 - 2013-03-16,38,1
2013-03-17 - 2013-03-23,42,2
2013-03-24 - 2013-03-30,44,2
2013-03-31 - 2013-04-06,39,3
2013-04-07 - 2013-04-13,43,4
2013-04-14 - 2013-04-20,33,2
2013-04-21 - 2013-04-27,34,2
2013-04-28 - 2013-05-04,44,4
2013-05-05 - 2013-05-11,41,2
2013-05-12 - 2013-05-18,44,4
2013-05-19 - 2013-05-25,46,1
2013-05-26 - 2013-06-01,44,2
2013-06-02 - 2013-06-08,47,2
2013-06-09 - 2013-06-15,49,2
2013-06-16 - 2013-06-22,51,3
2013-06-23 - 2013-06-29,50,2
2013-06-30 - 2013-07-06,45,2
2013-07-07 - 2013-07-13,47,2
2013-07-14 - 2013-07-20,50,2
2013-07-21 - 2013-07-27,46,1
2013-07-28 - 2013-08-03,45,2
2013-08-04 - 2013-08-10,54,3
2013-08-11 - 2013-08-17,53,3
2013-08-18 - 2013-08-24,48,2
2013-08-25 - 2013-08-31,43,2
2013-09-01 - 2013-09-07,45,3
2013-09-08 - 2013-09-14,43,2
2013-09-15 - 2013-09-21,43,2
2013-09-22 - 2013-09-28,39,2
2013-09-29 - 2013-10-05,37,3
2013-10-06 - 2013-10-12,35,4
2013-10-13 - 2013-10-19,37,3
2013-10-20 - 2013-10-26,33,5
2013-10-27 - 2013-11-02,31,6
2013-11-03 - 2013-11-09,27,4
2013-11-10 - 2013-11-16,29,3
2013-11-17 - 2013-11-23,25,4
2013-11-24 - 2013-11-30,26,5
2013-12-01 - 2013-12-07,31,3
2013-12-08 - 2013-12-14,28,4
2013-12-15 - 2013-12-21,32,6
2013-12-22 - 2013-12-28,25,3
2013-12-29 - 2014-01-04,29,4
2014-01-05 - 2014-01-11,34,6
2014-01-12 - 2014-01-18,30,6
2014-01-19 - 2014-01-25,29,6
2014-01-26 - 2014-02-01,31,5
2014-02-02 - 2014-02-08,37,7
2014-02-09 - 2014-02-15,34,6
2014-02-16 - 2014-02-22,34,8
2014-02-23 - 2014-03-01,34,7
2014-03-02 - 2014-03-08,32,9
2014-03-09 - 2014-03-15,34,7
2014-03-16 - 2014-03-22,33,6
2014-03-23 - 2014-03-29,36,8
2014-03-30 - 2014-04-05,43,8
2014-04-06 - 2014-04-12,35,8
2014-04-13 - 2014-04-19,36,9
2014-04-20 - 2014-04-26,37,10
2014-04-27 - 2014-05-03,38,10
2014-05-04 - 2014-05-10,41,12
2014-05-11 - 2014-05-17,39,12
2014-05-18 - 2014-05-24,42,8
2014-05-25 - 2014-05-31,39,11
2014-06-01 - 2014-06-07,43,11
2014-06-08 - 2014-06-14,46,17
2014-06-15 - 2014-06-21,49,14
2014-06-22 - 2014-06-28,41,13
2014-06-29 - 2014-07-05,49,16
2014-07-06 - 2014-07-12,42,13
2014-07-13 - 2014-07-19,42,13
2014-07-20 - 2014-07-26,50,13
2014-07-27 - 2014-08-02,46,15
2014-08-03 - 2014-08-09,44,15
2014-08-10 - 2014-08-16,40,14
2014-08-17 - 2014-08-23,37,16
2014-08-24 - 2014-08-30,34,12
2014-08-31 - 2014-09-06,40,16
2014-09-07 - 2014-09-13,37,16
2014-09-14 - 2014-09-20,39,20
2014-09-21 - 2014-09-27,36,18
2014-09-28 - 2014-10-04,33,17
2014-10-05 - 2014-10-11,31,18
2014-10-12 - 2014-10-18,32,15
2014-10-19 - 2014-10-25,26,18
2014-10-26 - 2014-11-01,28,18
2014-11-02 - 2014-11-08,26,17
2014-11-09 - 2014-11-15,24,17
2014-11-16 - 2014-11-22,27,21
2014-11-23 - 2014-11-29,25,20
2014-11-30 - 2014-12-06,24,22
2014-12-07 - 2014-12-13,23,18
2014-12-14 - 2014-12-20,27,21
2014-12-21 - 2014-12-27,25,18
2014-12-28 - 2015-01-03,25,17
2015-01-04 - 2015-01-10,29,22
2015-01-11 - 2015-01-17,28,23
2015-01-18 - 2015-01-24,32,23
2015-01-25 - 2015-01-31,42,39
2015-02-01 - 2015-02-07,33,30
2015-02-08 - 2015-02-14,35,22
2015-02-15 - 2015-02-21,31,29
2015-02-22 - 2015-02-28,31,23
2015-03-01 - 2015-03-07,34,25
2015-03-08 - 2015-03-14,37,26
2015-03-15 - 2015-03-21,36,23
2015-03-22 - 2015-03-28,41,33
2015-03-29 - 2015-04-04,36,26
2015-04-05 - 2015-04-11,30,25
2015-04-12 - 2015-04-18,34,27
2015-04-19 - 2015-04-25,33,28
2015-04-26 - 2015-05-02,42,37
2015-05-03 - 2015-05-09,38,33
2015-05-10 - 2015-05-16,49,32
2015-05-17 - 2015-05-23,42,26
2015-05-24 - 2015-05-30,36,29
2015-05-31 - 2015-06-06,41,29
2015-06-07 - 2015-06-13,40,28
2015-06-14 - 2015-06-20,42,31
2015-06-21 - 2015-06-27,50,30
2015-06-28 - 2015-07-04,57,35
2015-07-05 - 2015-07-11,47,34
2015-07-12 - 2015-07-18,46,32
2015-07-19 - 2015-07-25,47,33
2015-07-26 - 2015-08-01,47,33
2015-08-02 - 2015-08-08,37,34
2015-08-09 - 2015-08-15,41,38
2015-08-16 - 2015-08-22,41,36
2015-08-23 - 2015-08-29,45,46
2015-08-30 - 2015-09-05,40,35
2015-09-06 - 2015-09-12,36,26
2015-09-13 - 2015-09-19,33,32
2015-09-20 - 2015-09-26,28,34
2015-09-27 - 2015-10-03,29,36
2015-10-04 - 2015-10-10,31,38
2015-10-11 - 2015-10-17,31,35
2015-10-18 - 2015-10-24,27,32
2015-10-25 - 2015-10-31,27,36
2015-11-01 - 2015-11-07,29,41
2015-11-08 - 2015-11-14,22,33
2015-11-15 - 2015-11-21,29,36
2015-11-22 - 2015-11-28,27,33
2015-11-29 - 2015-12-05,25,38
2015-12-06 - 2015-12-12,25,35
2015-12-13 - 2015-12-19,32,40
2015-12-20 - 2015-12-26,25,33
2015-12-27 - 2016-01-02,25,32
2016-01-03 - 2016-01-09,30,41
2016-01-10 - 2016-01-16,31,41
2016-01-17 - 2016-01-23,33,38
2016-01-24 - 2016-01-30,31,41
2016-01-31 - 2016-02-06,35,45
2016-02-07 - 2016-02-13,25,37
2016-02-14 - 2016-02-20,23,37
2016-02-21 - 2016-02-27,29,43
2016-02-28 - 2016-03-05,32,43
2016-03-06 - 2016-03-12,37,37
2016-03-13 - 2016-03-19,30,34
2016-03-20 - 2016-03-26,30,33
2016-03-27 - 2016-04-02,29,44
2016-04-03 - 2016-04-09,32,37
2016-04-10 - 2016-04-16,32,41
2016-04-17 - 2016-04-23,34,38
2016-04-24 - 2016-04-30,32,45
2016-05-01 - 2016-05-07,36,40
2016-05-08 - 2016-05-14,31,34
2016-05-15 - 2016-05-21,34,37
2016-05-22 - 2016-05-28,34,45
2016-05-29 - 2016-06-04,32,44
2016-06-05 - 2016-06-11,35,43
2016-06-12 - 2016-06-18,39,44
2016-06-19 - 2016-06-25,76,82
2016-06-26 - 2016-07-02,57,67
2016-07-03 - 2016-07-09,50,57
2016-07-10 - 2016-07-16,44,48
2016-07-17 - 2016-07-23,44,43
2016-07-24 - 2016-07-30,42,51
2016-07-31 - 2016-08-06,44,51
2016-08-07 - 2016-08-13,40,47
2016-08-14 - 2016-08-20,40,42
2016-08-21 - 2016-08-27,38,52
2016-08-28 - 2016-09-03,37,50
2016-09-04 - 2016-09-10,36,46
2016-09-11 - 2016-09-17,33,46
2016-09-18 - 2016-09-24,32,48
2016-09-25 - 2016-10-01,29,52


Top regions for travelex
Region,travelex,transferwise
Australia,100,6
United Kingdom,79,25
New Zealand,54,0
Hong Kong,28,0
South Africa,14,0
Netherlands,14,4
United Arab Emirates,11,0
Singapore,9,0
France,8,3
Belgium,7,0
United States,6,1
Canada,4,2
Japan,3,0
India,3,2
Germany,2,3
Spain,2,8
Italy,2,2
Brazil,1,1
Switzerland,0,8
Estonia,0,100
Hungary,0,11
Ireland,0,18
Poland,0,2
Sweden,0,5

Top regions for transferwise
Region,travelex,transferwise
Estonia,0,100
United Kingdom,79,25
Ireland,0,18
Hungary,0,11
Switzerland,0,8
Spain,2,8
Australia,100,6
Sweden,0,5
Netherlands,14,4
Germany,2,3
France,8,3
India,3,2
Italy,2,2
Poland,0,2
Canada,4,2
United States,6,1
Brazil,1,1
United Arab Emirates,11,0
Belgium,7,0
Hong Kong,28,0
Japan,3,0
New Zealand,54,0
Singapore,9,0
South Africa,14,0


Top cities for travelex
City,travelex
Brentford (United Kingdom),100
Thames Ditton (United Kingdom),89
Glasgow (United Kingdom),80
Perth (Australia),78
Sydney (Australia),73
Edinburgh (United Kingdom),73
Liverpool (United Kingdom),72
Newcastle upon Tyne (United Kingdom),71
